Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,51.599998,51.650002,50.099998,50.480000,50.020134,1805757
2022-05-04,50.110001,51.560001,49.529999,51.099998,50.634483,919342
2022-05-05,50.310001,50.450001,49.700001,50.119999,49.663414,820696
2022-05-06,49.900002,50.759998,49.439999,49.759998,49.306690,1933584
2022-05-09,49.590000,49.590000,48.130001,48.810001,48.365349,1253939
2022-05-10,48.900002,49.560001,48.570000,49.040001,48.593254,1184871
2022-05-11,48.660000,49.119999,47.330002,47.709999,47.275368,2553485
2022-05-12,47.599998,48.980000,47.299999,48.240002,47.800541,1308974
2022-05-13,47.520000,47.520000,44.189999,45.509998,45.095409,9997034
2022-05-16,45.520000,46.919998,45.150002,46.119999,45.699852,7029222
2022-05-17,46.570000,46.840000,45.240002,46.340000,45.917850,5696799
2022-05-18,46.480000,46.689999,45.500000,45.759998,45.343132,3286873
2022-05-19,45.730000,46.990002,45.200001,45.799999,45.382767,3548126
2022-05-20,46.000000,46.709999,45.200001,45.450001,45.035957,3933073
2022-05-23,45.740002,45.770000,44.189999,45.349998,44.936867,3931209
2022-05-24,45.099998,45.599998,45.000000,45.119999,44.708961,4301053
2022-05-25,45.020000,45.549999,45.000000,45.349998,44.936867,3495824
2022-05-26,45.230000,45.849998,45.099998,45.580002,45.164776,3231012
2022-05-27,45.669998,46.540001,45.110001,46.080002,45.660221,5368986
2022-05-30,46.730000,46.730000,45.000000,45.360001,44.946777,2833013
2022-05-31,45.459999,45.889999,44.000000,44.330002,43.926163,87428021
2022-06-01,44.549999,45.689999,44.500000,45.209999,44.798141,3910452
2022-06-02,45.090000,45.500000,44.400002,45.009998,44.599964,2099463
2022-06-03,44.759998,45.099998,44.250000,44.759998,44.352242,2449395
2022-06-06,44.770000,45.180000,44.250000,44.459999,44.054974,1934218
2022-06-07,44.320000,44.599998,43.730000,44.080002,43.678440,2036496
2022-06-08,44.090000,45.029999,44.090000,44.680000,44.272972,3236682
2022-06-09,44.750000,45.250000,44.369999,44.860001,44.451332,1607058
2022-06-10,44.619999,44.619999,43.400002,43.480000,43.083904,1590092
2022-06-13,43.560001,44.099998,42.799999,43.630001,43.232536,1995831
2022-06-14,44.689999,44.970001,43.810001,44.459999,44.054974,1850617
2022-06-15,45.020000,45.020000,44.340000,44.810001,44.401791,909971
2022-06-16,44.630001,44.680000,43.610001,43.939999,43.539711,646920
2022-06-17,44.220001,45.709999,44.180000,45.290001,44.877415,3268419
2022-06-20,45.349998,45.349998,44.049999,44.320000,43.916252,120699
2022-06-21,44.410000,44.430000,43.040001,43.290001,42.895634,1110792
2022-06-22,43.430000,44.049999,43.000000,43.430000,43.034359,646626
2022-06-23,43.799999,44.500000,43.000000,43.220001,42.826275,1057607
2022-06-24,43.450001,43.700001,42.380001,43.450001,43.054176,1526342
2022-06-27,43.880001,44.450001,43.400002,44.279999,43.876614,2350195
2022-06-28,44.000000,44.290001,43.049999,43.139999,42.747002,1001532
2022-06-29,43.259998,44.389999,43.060001,43.950001,43.549622,1418409
2022-06-30,43.740002,44.580002,43.389999,43.500000,43.103722,794583
2022-07-01,43.500000,44.389999,42.700001,42.930000,42.538914,1272064
2022-07-04,43.349998,43.799999,42.990002,43.310001,42.915455,72616
2022-07-05,43.200001,43.480000,41.759998,43.160000,42.766819,1143924
2022-07-06,42.730000,43.919998,42.209999,43.689999,43.291988,1476809
2022-07-07,43.290001,44.330002,43.150002,43.820000,43.420807,975890
2022-07-08,43.310001,44.700001,43.310001,44.259998,43.856796,1021929
2022-07-11,44.259998,44.340000,43.520000,43.669998,43.272171,604115
2022-07-12,43.799999,44.250000,43.310001,43.560001,43.163177,1240772
2022-07-13,43.310001,45.020000,43.099998,44.209999,43.807251,654623
